,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
780,Imperial,February,2020,17.0%,17862,38783,4397855
781,Inyo,February,2020,3.9%,1016,1838,227930
782,Kern,February,2020,9.1%,71884,155080,18980589
783,Kings,February,2020,9.8%,11451,24123,2865536
784,Lake,February,2020,5.8%,7415,12261,1470483
785,Lassen,February,2020,5.8%,1675,3077,378982
786,Los Angeles,February,2020,4.6%,674595,1176924,150006711
787,Madera,February,2020,8.0%,11608,26380,3192735
788,Marin,February,2020,2.3%,6543,9938,1292954
789,Mariposa,February,2020,6.3%,1225,2129,252607
790,Mendocino,February,2020,4.7%,6624,11322,1433941
791,Merced,February,2020,10.4%,24596,52120,6323689
792,Modoc,February,2020,9.8%,750,1420,159753
793,Mono,February,2020,3.8%,332,552,73238
794,Monterey,February,2020,10.0%,19029,39746,5061527
795,Napa,February,2020,3.2%,3194,5633,656249
796,Nevada,February,2020,3.6%,4740,7561,962611
797,Orange,February,2020,2.8%,109687,204605,24581759
798,Placer,February,2020,3.2%,8558,14325,1696461
799,Plumas,February,2020,11.0%,1285,2195,267927
800,Riverside,February,2020,4.1%,119359,237652,29819357
801,Sacramento,February,2020,3.7%,109702,219449,26346960
802,San Benito,February,2020,6.2%,2233,4429,551518
803,San Bernardino,February,2020,3.8%,157663,322881,40209248
804,San Diego,February,2020,3.2%,145979,266499,32073160
805,San Francisco,February,2020,2.3%,47362,66002,7337138
806,San Joaquin,February,2020,6.6%,46722,95116,11309492
807,San Luis Obispo,February,2020,3.0%,9804,16012,1972430
808,San Mateo,February,2020,2.1%,12151,20603,2533230
809,Santa Barbara,February,2020,4.6%,22812,41392,5342595
810,Santa Clara,February,2020,2.6%,49781,83033,10010889
811,Santa Cruz,February,2020,6.4%,15163,24287,3217914
812,Shasta,February,2020,5.4%,13956,23775,2676860
813,Sierra,February,2020,6.9%,161,239,27392
814,Siskiyou,February,2020,8.5%,3838,7114,825877
815,Solano,February,2020,3.9%,21470,37649,4713507
816,Sonoma,February,2020,2.8%,16424,26680,3190425
817,Stanislaus,February,2020,6.6%,37830,73410,8778720
818,Sutter,February,2020,8.9%,5495,11489,1378975
819,Tehama,February,2020,6.2%,5083,9782,1073864
820,Trinity,February,2020,7.3%,1084,1748,229005
821,Tulare,February,2020,11.5%,50495,114239,13964046
822,Tuolumne,February,2020,5.0%,3088,4849,568079
