,County,Year,Month,Cases,Deaths
339,Modoc,2020,October,846,0
340,Modoc,2020,September,619,0
341,Modoc,2021,April,7752,66
342,Modoc,2021,February,8980,112
343,Modoc,2021,January,8492,82
344,Modoc,2021,March,10526,105
345,Mono,2020,April,664,30
346,Mono,2020,August,4868,44
347,Mono,2020,December,21543,103
348,Mono,2020,July,2339,31
349,Mono,2020,June,1139,30
350,Mono,2020,March,65,1
351,Mono,2020,May,987,31
352,Mono,2020,November,12989,72
353,Mono,2020,October,5418,62
354,Mono,2020,September,4910,60
355,Mono,2021,April,27486,88
356,Mono,2021,February,32842,112
357,Mono,2021,January,31814,124
358,Mono,2021,March,37803,124
359,Monterey,2020,April,3531,97
360,Monterey,2020,August,195080,1360
361,Monterey,2020,December,652831,5023
362,Monterey,2020,July,94160,596
363,Monterey,2020,June,31080,345
364,Monterey,2020,March,288,12
365,Monterey,2020,May,10386,225
366,Monterey,2020,November,396511,3249
367,Monterey,2020,October,339393,2583
368,Monterey,2020,September,274665,1955
369,Monterey,2021,April,949399,7715
370,Monterey,2021,February,1155247,8556
371,Monterey,2021,January,1071093,7623
372,Monterey,2021,March,1321361,10395
373,Napa,2020,April,1263,58
374,Napa,2020,August,37338,350
375,Napa,2020,December,137733,724
376,Napa,2020,February,4,0
377,Napa,2020,July,18297,171
378,Napa,2020,June,5997,104
379,Napa,2020,March,105,1
380,Napa,2020,May,2809,83
381,Napa,2020,November,75948,500
382,Napa,2020,October,57767,437
383,Napa,2020,September,47338,390
384,Napa,2021,April,210888,1736
385,Napa,2021,February,245979,1753
386,Napa,2021,January,222839,1251
387,Napa,2021,March,285818,2346
388,Nevada,2020,April,1050,28
389,Nevada,2020,August,11682,75
390,Nevada,2020,December,64769,976
391,Nevada,2020,July,6240,31
392,Nevada,2020,June,2090,30
393,Nevada,2020,March,101,0
394,Nevada,2020,May,1271,31
395,Nevada,2020,November,27308,270
396,Nevada,2020,October,18134,243
397,Nevada,2020,September,14901,170
398,Nevada,2021,April,96816,1645
399,Nevada,2021,February,105397,2072
400,Nevada,2021,January,96150,2031
401,Nevada,2021,March,127941,2398
402,Orange,2020,April,43117,778
403,Orange,2020,August,1335540,25028
404,Orange,2020,December,3642913,53311
405,Orange,2020,February,29,0
406,Orange,2020,January,7,0
407,Orange,2020,July,837060,14436
408,Orange,2020,June,281375,7088
409,Orange,2020,March,3229,23
410,Orange,2020,May,133479,2939
411,Orange,2020,November,2069168,45880
412,Orange,2020,October,1813259,42755
413,Orange,2020,September,1572747,33474
414,Orange,2021,April,5896029,106405
415,Orange,2021,February,7162074,100000
416,Orange,2021,January,6634066,73122
417,Orange,2021,March,8183418,137517
418,Placer,2020,April,3734,174
419,Placer,2020,August,77671,812
420,Placer,2020,December,315937,3042
421,Placer,2020,July,39040,373
422,Placer,2020,June,12588,283
423,Placer,2020,March,510,31
424,Placer,2020,May,5476,266
425,Placer,2020,November,161668,1914
426,Placer,2020,October,121551,1649
427,Placer,2020,September,100668,1193
428,Placer,2021,April,472913,6153
429,Placer,2021,February,539163,6169
430,Placer,2021,January,513455,5210
431,Placer,2021,March,632017,7571
432,Plumas,2020,April,106,0
433,Plumas,2020,August,993,0
434,Plumas,2020,December,9585,7
435,Plumas,2020,July,489,0
436,Plumas,2020,June,144,0
437,Plumas,2020,March,1,0
438,Plumas,2020,May,126,0
439,Plumas,2020,November,3996,0
440,Plumas,2020,October,1709,0
441,Plumas,2020,September,1322,0
442,Plumas,2021,April,14646,88
443,Plumas,2021,February,16854,168
444,Plumas,2021,January,15148,151
445,Plumas,2021,March,19961,148
446,Riverside,2020,April,65312,2056
447,Riverside,2020,August,1423782,27219
448,Riverside,2020,December,4090231,51802
449,Riverside,2020,July,879941,17792
450,Riverside,2020,June,356709,11814
451,Riverside,2020,March,1771,100
452,Riverside,2020,May,178720,7791
453,Riverside,2020,November,2297444,41300
454,Riverside,2020,October,1970813,39301
455,Riverside,2020,September,1682397,33825
456,Riverside,2021,April,6519225,98351
457,Riverside,2021,February,7973438,98536
458,Riverside,2021,January,7287869,78013
459,Riverside,2021,March,9062653,125510
460,Sacramento,2020,April,23327,869
461,Sacramento,2020,August,426385,6437
462,Sacramento,2020,December,1612461,22195
463,Sacramento,2020,February,17,0
464,Sacramento,2020,July,202602,2866
465,Sacramento,2020,June,59694,1905
466,Sacramento,2020,March,1791,74
467,Sacramento,2020,May,38041,1642
468,Sacramento,2020,November,936862,15986
469,Sacramento,2020,October,755682,14418
470,Sacramento,2020,September,618049,10916
471,Sacramento,2021,April,2202102,35973
472,Sacramento,2021,February,2530637,38570
473,Sacramento,2021,January,2417488,33060
474,Sacramento,2021,March,2962788,48150
475,San Benito,2020,April,1162,58
476,San Benito,2020,August,26373,165
477,San Benito,2020,December,83886,685
478,San Benito,2020,July,12964,69
479,San Benito,2020,June,4355,60
480,San Benito,2020,March,136,15
481,San Benito,2020,May,1982,62
482,San Benito,2020,November,49182,457
483,San Benito,2020,October,43466,419
484,San Benito,2020,September,37587,302
485,San Benito,2021,April,130619,1369
486,San Benito,2021,February,157298,1588
487,San Benito,2021,January,145671,1305
488,San Benito,2021,March,180512,1891
489,San Bernardino,2020,April,32855,1387
490,San Bernardino,2020,August,1256409,18272
491,San Bernardino,2020,December,4410994,40126
492,San Bernardino,2020,July,684747,10063
493,San Bernardino,2020,June,245387,6906
494,San Bernardino,2020,March,748,24
495,San Bernardino,2020,May,109214,4526
496,San Bernardino,2020,November,2317346,33223
497,San Bernardino,2020,October,1850228,31461
498,San Bernardino,2020,September,1543111,25294
499,San Bernardino,2021,April,6451632,98645
500,San Bernardino,2021,February,7882481,66455
501,San Bernardino,2021,January,7538585,49028
502,San Bernardino,2021,March,8958035,115888
503,San Diego,2020,April,63537,1995
