County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Placer,May,May-20,2020,12.4%,"10,232","16,886",929,851,"2,112,229"
Plumas,May,May-20,2020,16.9%,"1,411","2,401",65,41,"297,904"
Riverside,May,May-20,2020,15.8%,"142,244","282,116","15,997","14,956","35,494,701"
Sacramento,May,May-20,2020,14.1%,"119,470","227,892","7,271","5,768","28,844,804"
San Benito,May,May-20,2020,15.5%,"2,727","5,444",228,164,"683,868"
San Bernardino,May,May-20,2020,13.9%,"175,820","357,205","14,930","13,048","44,881,537"
San Diego,May,May-20,2020,15.0%,"189,714","331,073","19,701","17,535","41,615,431"
San Francisco,May,May-20,2020,12.6%,"56,482","79,157","5,842","5,044","9,306,237"
San Joaquin,May,May-20,2020,16.6%,"51,981","105,222","4,588","3,758","12,741,018"
San Luis Obispo,May,May-20,2020,12.7%,"12,072","19,086","1,045",840,"2,479,552"
San Mateo,May,May-20,2020,11.1%,"15,947","27,782","2,779","2,466","3,528,688"
Santa Barbara,May,May-20,2020,12.9%,"26,540","46,093","1,923","1,572","6,135,385"
Santa Clara,May,May-20,2020,11.0%,"59,017","96,962","6,584","5,742","12,194,763"
Santa Cruz,May,May-20,2020,14.4%,"18,401","28,816","1,227",788,"3,897,141"
Shasta,May,May-20,2020,13.1%,"15,524","26,412","1,006",677,"3,009,870"
Sierra,May,May-20,2020,12.6%,193,296,11,4,"33,881"
Siskiyou,May,May-20,2020,13.5%,"4,356","7,964",243,186,"928,299"
Solano,May,May-20,2020,14.2%,"26,011","44,165","2,530","1,982","5,712,557"
Sonoma,May,May-20,2020,12.7%,"19,473","31,184","2,172","2,056","3,988,850"
Stanislaus,May,May-20,2020,16.1%,"41,830","80,723","3,476","2,655","9,770,746"
Sutter,May,May-20,2020,16.0%,"6,075","12,540",404,332,"1,542,539"
Tehama,May,May-20,2020,12.6%,"5,573","10,541",352,265,"1,165,655"
Trinity,May,May-20,2020,10.7%,"1,259","2,068",70,40,"269,993"
Tulare,May,May-20,2020,18.4%,"54,714","118,467","2,677","2,210","14,818,656"
Tuolumne,May,May-20,2020,16.5%,"3,537","5,564",229,141,"660,734"
Ventura,May,May-20,2020,13.5%,"39,489","72,388","3,562","2,680","9,378,163"
Yolo,May,May-20,2020,10.5%,"13,895","21,870","1,298",767,"2,897,725"
Yuba,May,May-20,2020,15.1%,"7,701","15,114",416,343,"1,790,261"
Statewide,June,Jun-20,2020,15.1%,"2,639,252","4,840,876","190,287","165,070","601,177,426"
Alameda,June,Jun-20,2020,13.4%,"86,632","141,850","8,340","7,099","17,778,873"
Alpine,June,Jun-20,2020,19.6%,79,128,5,3,"14,732"
Amador,June,Jun-20,2020,12.7%,"1,647","2,831",102,78,"336,925"
Butte,June,Jun-20,2020,12.1%,"19,728","32,357","1,195",899,"3,988,976"
Calaveras,June,Jun-20,2020,11.0%,"3,141","5,411",167,114,"677,126"
Colusa,June,Jun-20,2020,18.3%,944,"1,959",77,53,"214,122"
Contra Costa,June,Jun-20,2020,13.4%,"43,544","77,365","3,688","3,303","9,864,093"
Del Norte,June,Jun-20,2020,12.5%,"3,356","5,947",154,92,"688,694"
El Dorado,June,Jun-20,2020,12.9%,"8,211","13,122",500,288,"1,667,567"
Fresno,June,Jun-20,2020,14.6%,"108,306","290,961","5,189","4,518","27,698,201"
Glenn,June,Jun-20,2020,12.9%,"1,818","3,610",119,78,"416,892"
Humboldt,June,Jun-20,2020,11.6%,"15,745","24,345",865,474,"3,125,325"
Imperial,June,Jun-20,2020,27.3%,"19,700","42,207","1,126",840,"4,995,746"
Inyo,June,Jun-20,2020,10.9%,"1,211","2,199",56,23,"271,386"
Kern,June,Jun-20,2020,17.5%,"82,052","174,183","5,979","4,613","21,907,962"
Kings,June,Jun-20,2020,14.6%,"12,590","26,219",768,573,"3,104,303"
Lake,June,Jun-20,2020,14.2%,"8,140","13,424",283,266,"1,621,516"
Lassen,June,Jun-20,2020,9.5%,"1,992","3,532",108,50,"433,644"
Los Angeles,June,Jun-20,2020,19.5%,"834,828","1,424,012","60,157","58,367","183,096,226"
Madera,June,Jun-20,2020,14.1%,"13,359","30,147",700,337,"3,721,742"
Marin,June,Jun-20,2020,10.0%,"8,889","13,648",542,405,"1,854,974"
Mariposa,June,Jun-20,2020,14.3%,"1,499","2,493",73,30,"306,946"
Mendocino,June,Jun-20,2020,12.3%,"7,820","13,310",442,320,"1,711,277"
Merced,June,Jun-20,2020,15.7%,"26,475","55,459","1,622","1,016","6,813,349"
Modoc,June,Jun-20,2020,10.0%,810,"1,496",33,21,"176,685"
Mono,June,Jun-20,2020,24.7%,619,993,43,37,"135,007"
Monterey,June,Jun-20,2020,14.4%,"22,979","47,640","1,820","1,360","6,170,691"
Napa,June,Jun-20,2020,12.5%,"4,131","7,276",403,301,"859,225"
Nevada,June,Jun-20,2020,13.0%,"5,658","8,828",304,223,"1,136,910"
Orange,June,Jun-20,2020,13.7%,"141,812","252,147","10,700","8,857","31,459,737"
Placer,June,Jun-20,2020,11.2%,"10,270","16,499",799,690,"2,028,794"
Plumas,June,Jun-20,2020,13.9%,"1,419","2,400",84,49,"294,162"
Riverside,June,Jun-20,2020,14.8%,"145,900","288,138","13,203","12,087","36,512,145"
Sacramento,June,Jun-20,2020,13.6%,"123,598","234,265","7,037","5,735","29,375,495"
San Benito,June,Jun-20,2020,13.8%,"2,825","5,640",210,153,"715,281"
San Bernardino,June,Jun-20,2020,13.8%,"179,336","363,347","12,140","9,992","46,201,097"
San Diego,June,Jun-20,2020,13.9%,"198,896","348,149","15,153","12,924","43,142,061"
San Francisco,June,Jun-20,2020,12.5%,"59,128","82,794","4,047","3,378","9,551,611"
San Joaquin,June,Jun-20,2020,15.9%,"51,499","103,096","4,002","3,249","12,618,954"
San Luis Obispo,June,Jun-20,2020,11.5%,"12,002","18,677",777,585,"2,377,628"
San Mateo,June,Jun-20,2020,10.8%,"16,680","29,048","2,051","1,786","3,583,958"
Santa Barbara,June,Jun-20,2020,11.6%,"27,170","47,169","1,805","1,481","6,148,681"
Santa Clara,June,Jun-20,2020,10.7%,"61,189","100,482","5,101","4,439","12,532,164"
Santa Cruz,June,Jun-20,2020,13.0%,"18,581","29,047",921,623,"3,866,996"
Shasta,June,Jun-20,2020,11.5%,"15,535","26,215","1,045",663,"2,994,985"
Sierra,June,Jun-20,2020,11.1%,190,293,7,5,"33,691"
Siskiyou,June,Jun-20,2020,12.6%,"4,408","8,020",246,187,"941,336"
Solano,June,Jun-20,2020,13.7%,"27,019","45,845","1,886","1,458","5,829,605"
Sonoma,June,Jun-20,2020,11.5%,"20,155","32,029","3,106","3,010","4,049,598"
Stanislaus,June,Jun-20,2020,15.0%,"41,252","78,669","3,233","2,413","9,628,129"
Sutter,June,Jun-20,2020,15.0%,"6,132","12,524",482,394,"1,536,956"
Tehama,June,Jun-20,2020,11.8%,"5,663","10,664",329,227,"1,187,846"
Trinity,June,Jun-20,2020,9.8%,"1,294","2,105",68,40,"279,708"
Tulare,June,Jun-20,2020,17.2%,"55,602","119,800","2,223","1,428","14,763,463"
Tuolumne,June,Jun-20,2020,14.4%,"3,478","5,421",206,116,"653,445"
Ventura,June,Jun-20,2020,12.6%,"40,306","73,872","2,927","2,272","9,300,518"
Yolo,June,Jun-20,2020,10.6%,"14,233","22,427","1,181",686,"2,964,476"
Yuba,June,Jun-20,2020,14.4%,"7,777","15,142",458,362,"1,815,793"
Statewide,July,Jul-20,2020,13.7%,"2,578,120","4,684,911","172,073","139,461","572,379,787"
Alameda,July,Jul-20,2020,12.0%,"86,626","139,604","6,968","5,617","17,423,995"
Alpine,July,Jul-20,2020,14.1%,73,118,4,2,"12,848"
Amador,July,Jul-20,2020,11.9%,"1,519","2,545",109,68,"302,115"
Butte,July,Jul-20,2020,11.1%,"18,528","30,236","1,253",911,"3,621,067"
Calaveras,July,Jul-20,2020,9.6%,"2,959","5,044",172,97,"617,409"
Colusa,July,Jul-20,2020,15.3%,913,"1,900",63,45,"201,622"
Contra Costa,July,Jul-20,2020,12.0%,"43,542","76,147","2,957","2,572","9,519,098"
Del Norte,July,Jul-20,2020,11.3%,"3,271","5,794",163,77,"643,885"
El Dorado,July,Jul-20,2020,10.3%,"7,807","12,415",578,275,"1,543,717"
Fresno,July,Jul-20,2020,13.5%,"106,240","279,904","5,181","4,320","26,245,768"
Glenn,July,Jul-20,2020,108.0%,"1,740","3,442",103,63,"379,696"
Humboldt,July,Jul-20,2020,10.2%,"15,001","23,175",925,435,"2,936,373"
Imperial,July,Jul-20,2020,26.8%,"18,973","40,511",989,640,"4,655,597"
Inyo,July,Jul-20,2020,9.4%,"1,162","2,076",57,13,"255,982"
Kern,July,Jul-20,2020,16.5%,"79,880","168,942","5,521","3,888","20,527,513"
Kings,July,Jul-20,2020,13.1%,"12,133","25,242",789,507,"2,902,460"
Lake,July,Jul-20,2020,11.6%,"7,859","12,897",382,244,"1,516,551"
Lassen,July,Jul-20,2020,8.6%,"1,879","3,349",101,28,"396,472"
Los Angeles,July,Jul-20,2020,18.2%,"821,129","1,398,867","54,168","49,165","177,703,857"
Madera,July,Jul-20,2020,13.0%,"13,013","29,364",692,322,"3,541,117"
Marin,July,Jul-20,2020,8.8%,"8,695","13,284",530,358,"1,778,462"
Mariposa,July,Jul-20,2020,10.8%,"1,458","2,403",61,20,"285,971"
Mendocino,July,Jul-20,2020,10.9%,"7,425","12,630",431,276,"1,587,489"
Merced,July,Jul-20,2020,14.5%,"25,369","53,190","1,581",852,"6,350,763"
Modoc,July,Jul-20,2020,8.8%,784,"1,435",36,19,"158,100"
Mono,July,Jul-20,2020,16.6%,597,956,39,33,"127,876"
Monterey,July,Jul-20,2020,12.1%,"21,657","44,473","1,599","1,041","5,571,312"
Napa,July,Jul-20,2020,10.4%,"4,032","7,062",372,225,"821,805"
Nevada,July,Jul-20,2020,10.6%,"5,489","8,567",351,246,"1,091,109"
Orange,July,Jul-20,2020,12.3%,"138,010","239,857","9,993","7,596","29,753,371"
Placer,July,Jul-20,2020,9.8%,"9,831","15,723",753,646,"1,931,907"
Plumas,July,Jul-20,2020,11.4%,"1,378","2,298",86,41,"274,147"
Riverside,July,Jul-20,2020,13.7%,"137,553","270,888","11,617","10,337","33,462,347"
Sacramento,July,Jul-20,2020,12.5%,"123,140","226,834","7,252","5,973","28,196,775"
San Benito,July,Jul-20,2020,11.9%,"2,735","5,423",166,108,"670,139"
San Bernardino,July,Jul-20,2020,13.1%,"170,169","345,004","11,716","9,010","42,820,860"
San Diego,July,Jul-20,2020,12.3%,"199,745","343,297","13,239","10,613","41,817,464"
San Francisco,July,Jul-20,2020,10.9%,"55,982","78,064","3,688","3,002","8,905,823"
San Joaquin,July,Jul-20,2020,14.8%,"49,680","99,175","3,948","2,986","11,647,533"
San Luis Obispo,July,Jul-20,2020,9.9%,"11,212","17,137",768,561,"2,158,738"
San Mateo,July,Jul-20,2020,9.2%,"16,755","29,209","1,650","1,340","3,562,205"
Santa Barbara,July,Jul-20,2020,10.0%,"26,811","45,377","1,632","1,305","5,854,223"
Santa Clara,July,Jul-20,2020,9.3%,"61,370","99,509","3,998","3,257","12,326,491"
Santa Cruz,July,Jul-20,2020,11.2%,"17,950","27,544",917,511,"3,631,255"
Shasta,July,Jul-20,2020,10.5%,"15,058","25,244","1,025",598,"2,795,404"
Sierra,July,Jul-20,2020,9.3%,178,275,3,0,"29,650"
Siskiyou,July,Jul-20,2020,11.2%,"4,268","7,719",251,171,"878,420"
Solano,July,Jul-20,2020,12.4%,"26,824","44,831","1,567","1,157","5,626,683"
Sonoma,July,Jul-20,2020,9.8%,"20,358","31,956","1,455","1,312","3,977,850"
Stanislaus,July,Jul-20,2020,13.6%,"39,168","74,331","2,829","1,944","8,812,374"
Sutter,July,Jul-20,2020,13.5%,"5,871","12,008",412,296,"1,438,933"
Tehama,July,Jul-20,2020,11.0%,"5,501","10,305",350,187,"1,112,604"
Trinity,July,Jul-20,2020,8.6%,"1,271","2,009",79,44,"259,146"
Tulare,July,Jul-20,2020,16.2%,"54,253","113,959","2,042","1,305","13,943,253"
Tuolumne,July,Jul-20,2020,12.6%,"3,264","5,012",203,109,"593,153"
Ventura,July,Jul-20,2020,11.3%,"38,529","70,264","2,695","1,736","8,718,954"
Yolo,July,Jul-20,2020,9.5%,"13,991","21,451","1,164",651,"2,766,577"
Yuba,July,Jul-20,2020,13.5%,"7,512","14,636",400,306,"1,693,481"
Statewide,August,Aug-20,2020,11.6%,"2,549,270","4,640,393","194,399","149,747","558,447,062"
Alameda,August,Aug-20,2020,9.8%,"86,097","139,609","7,382","5,609","17,247,406"
Alpine,August,Aug-20,2020,11.2%,69,113,5,4,"11,837"
Amador,August,Aug-20,2020,9.3%,"1,490","2,507",155,107,"289,532"
Butte,August,Aug-20,2020,9.0%,"17,921","29,244","1,848","1,385","3,454,582"
Calaveras,August,Aug-20,2020,7.5%,"2,924","4,991",215,144,"608,928"
Colusa,August,Aug-20,2020,11.0%,929,"1,919",85,56,"202,713"
Contra Costa,August,Aug-20,2020,9.8%,"43,916","77,681","3,209","2,756","9,585,920"
Del Norte,August,Aug-20,2020,9.4%,"3,230","5,701",194,96,"632,021"
El Dorado,August,Aug-20,2020,8.0%,"7,646","12,109",665,376,"1,482,242"
Fresno,August,Aug-20,2020,10.9%,"103,281","272,863","6,580","5,551","25,251,540"
Glenn,August,Aug-20,2020,8.1%,"1,740","3,442",114,71,"368,664"
Humboldt,August,Aug-20,2020,8.4%,"14,830","23,065","1,096",542,"2,840,638"
Imperial,August,Aug-20,2020,22.9%,"18,706","39,980","1,252",771,"4,555,371"
Inyo,August,Aug-20,2020,7.4%,"1,137","2,042",72,17,"248,702"
Kern,August,Aug-20,2020,13.1%,"78,286","166,130","6,583","4,476","19,808,283"
Kings,August,Aug-20,2020,10.7%,"11,891","24,803",953,566,"2,801,828"
Lake,August,Aug-20,2020,8.8%,"7,768","12,884",470,294,"1,480,039"
Lassen,August,Aug-20,2020,6.7%,"1,847","3,272",113,44,"387,476"
Los Angeles,August,Aug-20,2020,16.6%,"814,259","1,386,045","57,812","48,131","174,216,176"
Madera,August,Aug-20,2020,10.0%,"12,838","28,976",728,349,"3,440,960"
Marin,August,Aug-20,2020,7.0%,"8,706","13,352",586,340,"1,782,751"
Mariposa,August,Aug-20,2020,8.5%,"1,458","2,392",101,41,"277,910"
Mendocino,August,Aug-20,2020,8.8%,"7,388","12,671",518,330,"1,566,446"
Merced,August,Aug-20,2020,11.3%,"25,223","53,197","2,046","1,259","6,293,181"
Modoc,August,Aug-20,2020,6.8%,775,"1,404",32,15,"151,620"
Mono,August,Aug-20,2020,11.6%,580,917,44,35,"115,340"
Monterey,August,Aug-20,2020,9.4%,"20,744","42,366","1,906","1,304","5,126,717"
Napa,August,Aug-20,2020,8.3%,"4,055","7,064",449,262,"802,419"
Nevada,August,Aug-20,2020,8.0%,"5,409","8,437",366,267,"1,027,982"
Orange,August,Aug-20,2020,9.9%,"136,155","239,471","12,297","8,679","29,107,648"
Placer,August,Aug-20,2020,7.7%,"9,475","15,101",866,751,"1,807,698"
Plumas,August,Aug-20,2020,8.2%,"1,347","2,285",110,47,"265,225"
Riverside,August,Aug-20,2020,11.2%,"133,183","262,616","14,419","12,796","32,046,308"
Sacramento,August,Aug-20,2020,10.3%,"121,167","223,552","8,601","6,956","27,397,795"
San Benito,August,Aug-20,2020,9.2%,"2,710","5,363",184,127,"639,042"
San Bernardino,August,Aug-20,2020,10.8%,"165,633","337,335","13,711","10,147","41,550,044"
San Diego,August,Aug-20,2020,9.9%,"199,506","343,582","14,327","11,569","40,637,298"
San Francisco,August,Aug-20,2020,8.8%,"59,874","83,851","3,853","3,227","8,957,228"
San Joaquin,August,Aug-20,2020,11.9%,"49,805","99,870","3,842","2,772","11,604,026"
San Luis Obispo,August,Aug-20,2020,7.8%,"10,684","16,528","1,021",766,"2,042,277"
San Mateo,August,Aug-20,2020,7.5%,"16,754","29,298","1,847","1,549","3,524,428"
Santa Barbara,August,Aug-20,2020,8.0%,"26,150","44,636","1,949","1,493","5,681,208"
Santa Clara,August,Aug-20,2020,7.5%,"61,771","101,042","4,191","3,305","12,146,928"
Santa Cruz,August,Aug-20,2020,8.6%,"17,535","27,217","1,159",632,"3,524,874"
Shasta,August,Aug-20,2020,8.3%,"14,802","24,868","1,208",666,"2,694,897"
Sierra,August,Aug-20,2020,7.7%,169,255,7,2,"28,426"
Siskiyou,August,Aug-20,2020,9.1%,"4,205","7,535",310,202,"850,769"
Solano,August,Aug-20,2020,10.3%,"26,513","44,318","1,695","1,204","5,427,016"
Sonoma,August,Aug-20,2020,7.7%,"20,574","32,476","1,361","1,192","3,908,614"
Stanislaus,August,Aug-20,2020,10.9%,"38,611","73,675","3,618","1,247","8,546,387"
Sutter,August,Aug-20,2020,10.7%,"5,744","11,737",460,330,"1,385,974"
Tehama,August,Aug-20,2020,8.8%,"5,399","10,077",378,212,"1,077,340"
Trinity,August,Aug-20,2020,6.8%,"1,249","2,007",62,27,"255,702"
Tulare,August,Aug-20,2020,13.1%,"52,384","111,277","2,426","1,316","13,681,435"
Tuolumne,August,Aug-20,2020,10.2%,"3,176","4,843",291,154,"561,888"
Ventura,August,Aug-20,2020,9.1%,"38,619","70,947","2,741","2,017","8,709,583"
Yolo,August,Aug-20,2020,7.5%,"13,577","21,050","1,416",824,"2,687,297"
Yuba,August,Aug-20,2020,10.8%,"7,356","14,405",470,340,"1,640,481"
Statewide,September,Sep-20,2020,10.8%,"2,523,606","4,666,504","166,669","123,137","544,728,685"
Alameda,September,Sep-20,2020,9.3%,"85,083","143,675","6,218","4,446","16,651,321"
Alpine,September,Sep-20,2020,10.7%,66,109,3,0,"11,543"
Amador,September,Sep-20,2020,8.7%,"1,513","2,586",159,82,"298,105"
Butte,September,Sep-20,2020,8.5%,"17,666","28,943","1,575","1,160","3,387,493"
Calaveras,September,Sep-20,2020,7.4%,"2,879","4,934",166,91,"591,152"
Colusa,September,Sep-20,2020,10.6%,934,"1,904",59,34,"199,031"
Contra Costa,September,Sep-20,2020,9.3%,"43,968","80,426","2,519","2,038","9,420,087"
Del Norte,September,Sep-20,2020,8.8%,"3,169","5,592",145,60,"609,003"
El Dorado,September,Sep-20,2020,7.5%,"7,424","11,761",512,245,"1,408,804"
Fresno,September,Sep-20,2020,10.4%,"101,231","273,438","5,910","4,762","24,499,970"
Glenn,September,Sep-20,2020,7.3%,"1,690","3,358",96,50,"361,473"
Humboldt,September,Sep-20,2020,7.6%,"14,520","22,698","1,000",473,"2,756,079"
Imperial,September,Sep-20,2020,21.5%,"18,523","39,673","1,066",588,"4,458,462"
Inyo,September,Sep-20,2020,7.3%,"1,116","1,991",58,10,"237,852"
Kern,September,Sep-20,2020,12.4%,"76,998","164,079","5,761","3,847","19,323,460"
Kings,September,Sep-20,2020,10.3%,"11,711","24,467",798,421,"2,726,906"
Lake,September,Sep-20,2020,8.6%,"7,673","12,738",385,229,"1,438,556"
Lassen,September,Sep-20,2020,6.3%,"1,823","3,224",101,41,"379,821"
Los Angeles,September,Sep-20,2020,15.1%,"810,634","1,383,013","47,546","36,799","171,030,544"
Madera,September,Sep-20,2020,9.4%,"12,623","28,503",661,287,"3,342,602"
Marin,September,Sep-20,2020,6.5%,"8,639","13,247",461,281,"1,731,364"
Mariposa,September,Sep-20,2020,8.4%,"1,468","2,409",79,32,"279,704"
Mendocino,September,Sep-20,2020,8.3%,"7,233","12,419",439,288,"1,490,995"
Merced,September,Sep-20,2020,10.6%,"25,087","52,947","1,658",898,"6,179,162"
Modoc,September,Sep-20,2020,6.5%,760,"1,377",39,20,"147,639"
Mono,September,Sep-20,2020,11.2%,539,864,51,43,"106,044"
Monterey,September,Sep-20,2020,8.8%,"20,169","41,019","1,675","1,005","4,838,540"
Napa,September,Sep-20,2020,7.6%,"4,065","7,109",392,214,"795,331"
Nevada,September,Sep-20,2020,7.4%,"5,251","8,186",341,225,"986,008"
Orange,September,Sep-20,2020,9.0%,"135,062","247,703","9,729","6,631","28,393,567"
Placer,September,Sep-20,2020,7.1%,"9,475","18,478",667,573,"1,761,068"
Plumas,September,Sep-20,2020,7.8%,"1,347","2,247",116,67,"259,715"
Riverside,September,Sep-20,2020,10.5%,"130,900","259,321","12,043","10,229","31,311,590"
Sacramento,September,Sep-20,2020,9.8%,"119,020","229,917","7,569","5,855","26,634,568"
San Benito,September,Sep-20,2020,8.7%,"2,667","5,277",168,102,"621,657"
San Bernardino,September,Sep-20,2020,10.3%,"162,182","331,506","11,884","8,035","40,341,061"
San Diego,September,Sep-20,2020,9.0%,"199,681","357,489","14,578","11,567","39,409,491"
San Francisco,September,Sep-20,2020,8.4%,"59,799","83,903","3,084","2,520","8,915,639"
San Joaquin,September,Sep-20,2020,11.4%,"49,307","99,221","3,540","2,548","11,385,434"
San Luis Obispo,September,Sep-20,2020,7.2%,"10,539","17,353",952,649,"1,968,054"
San Mateo,September,Sep-20,2020,7.1%,"16,700","29,251","1,441","1,113","3,461,728"
Santa Barbara,September,Sep-20,2020,7.4%,"25,492","45,150","1,956","1,453","5,423,645"
Santa Clara,September,Sep-20,2020,7.0%,"61,748","104,152","3,378","2,576","11,899,319"
Santa Cruz,September,Sep-20,2020,8.1%,"17,262","27,613","1,158",616,"3,369,456"
Shasta,September,Sep-20,2020,7.8%,"14,531","24,505","1,078",586,"2,627,869"
Sierra,September,Sep-20,2020,6.7%,162,254,11,2,"25,753"
Siskiyou,September,Sep-20,2020,8.5%,"4,164","7,429",258,156,"836,085"
Solano,September,Sep-20,2020,9.7%,"26,246","45,792","1,533","1,041","5,227,895"
Sonoma,September,Sep-20,2020,7.2%,"20,280","33,120","1,228","1,066","3,731,579"
Stanislaus,September,Sep-20,2020,10.3%,"38,372","73,796","2,876","1,704","8,435,539"
Sutter,September,Sep-20,2020,10.3%,"5,680","11,623",410,268,"1,366,415"
Tehama,September,Sep-20,2020,8.2%,"5,332","9,918",375,205,"1,052,655"
Trinity,September,Sep-20,2020,6.7%,"1,227","1,972",78,38,"243,329"
Tulare,September,Sep-20,2020,12.2%,"50,621","112,531","2,338","1,596","13,177,131"
Tuolumne,September,Sep-20,2020,9.6%,"3,152","4,815",222,101,"550,370"
Ventura,September,Sep-20,2020,8.4%,"37,821","69,793","2,220","1,560","8,410,461"
Yolo,September,Sep-20,2020,7.1%,"13,149","21,350","1,530","1,330","2,592,495"
Yuba,September,Sep-20,2020,10.6%,"7,233","14,336",376,281,"1,608,066"
Statewide,October,Oct-20,2020,9.0%,"2,429,072","4,509,104","168,219","119,249","551,824,579"
Alameda,October,Oct-20,2020,7.9%,"81,670","138,417","6,240","4,073","16,524,612"
Alpine,October,Oct-20,2020,9.7%,63,105,4,2,"11,846"
Amador,October,Oct-20,2020,7.7%,"1,497","2,573",141,74,"308,333"
Butte,October,Oct-20,2020,7.4%,"17,108","28,177","1,422",981,"3,504,238"
Calaveras,October,Oct-20,2020,6.6%,"2,795","4,811",202,100,"611,483"
Colusa,October,Oct-20,2020,9.3%,900,"1,795",58,30,"199,240"
Contra Costa,October,Oct-20,2020,7.9%,"42,744","78,584","2,375","1,877","9,537,552"
Del Norte,October,Oct-20,2020,9.0%,"3,071","5,473",158,55,"630,745"
El Dorado,October,Oct-20,2020,6.4%,"6,933","11,025",565,256,"1,396,641"
Fresno,October,Oct-20,2020,9.3%,"97,441","267,287","5,913","4,505","24,537,319"
Glenn,October,Oct-20,2020,6.3%,"1,608","3,235",107,57,"377,959"
Humboldt,October,Oct-20,2020,6.6%,"13,837","21,665","1,052",470,"2,796,515"
Imperial,October,Oct-20,2020,18.8%,"18,022","38,803","1,077",564,"4,647,110"
Inyo,October,Oct-20,2020,6.5%,"1,056","1,909",63,15,"240,618"
Kern,October,Oct-20,2020,10.6%,"73,942","158,626","6,200","3,909","19,850,712"
Kings,October,Oct-20,2020,9.3%,"11,305","23,776",876,396,"2,837,492"
Lake,October,Oct-20,2020,7.7%,"7,422","12,323",412,218,"1,477,756"
Lassen,October,Oct-20,2020,5.2%,"1,764","3,161",127,48,"395,448"
Los Angeles,October,Oct-20,2020,12.1%,"778,220","1,331,212","48,913","37,231","173,120,052"
Madera,October,Oct-20,2020,8.5%,"12,139","27,556",711,300,"3,421,096"
Marin,October,Oct-20,2020,5.4%,"8,332","12,766",461,281,"1,738,699"
Mariposa,October,Oct-20,2020,7.3%,"1,401","2,331",87,38,"289,266"
Mendocino,October,Oct-20,2020,7.3%,"6,877","11,851",427,250,"1,508,998"
Merced,October,Oct-20,2020,9.3%,"24,349","51,785","1,515",760,"6,423,046"
Modoc,October,Oct-20,2020,5.9%,734,"1,341",37,10,"152,787"
Mono,October,Oct-20,2020,9.9%,465,737,42,28,"93,383"
Monterey,October,Oct-20,2020,7.8%,"19,116","38,975","1,925",920,"4,875,089"
Napa,October,Oct-20,2020,6.6%,"3,899","6,765",498,209,"803,698"
Nevada,October,Oct-20,2020,6.4%,"5,005","7,831",331,223,"1,010,449"
Orange,October,Oct-20,2020,7.5%,"129,922","239,606","9,610","6,223","28,581,505"
Placer,October,Oct-20,2020,6.0%,"9,387","14,939",631,495,"1,775,030"
Plumas,October,Oct-20,2020,6.9%,"1,303","2,171",82,39,"269,850"
Riverside,October,Oct-20,2020,9.0%,"123,843","246,522","12,134","10,003","31,400,183"
Sacramento,October,Oct-20,2020,8.4%,"115,408","224,584","7,483","5,649","27,291,736"
San Benito,October,Oct-20,2020,7.5%,"2,546","5,054",198,107,"629,989"
San Bernardino,October,Oct-20,2020,9.1%,"153,307","315,453","12,515","8,115","40,414,398"
San Diego,October,Oct-20,2020,7.7%,"195,294","350,744","14,494","11,290","39,855,562"
San Francisco,October,Oct-20,2020,6.9%,"58,267","81,871","3,018","2,376","9,200,775"
San Joaquin,October,Oct-20,2020,10.0%,"47,975","96,739","3,318","2,263","11,776,811"
San Luis Obispo,October,Oct-20,2020,6.0%,"10,342","17,071",849,557,"1,998,290"
San Mateo,October,Oct-20,2020,6.0%,"16,205","28,446","1,427","1,038","3,431,077"
Santa Barbara,October,Oct-20,2020,6.3%,"24,434","43,712","1,817","1,300","5,410,191"
Santa Clara,October,Oct-20,2020,5.9%,"60,864","102,841","3,134","2,338","12,288,736"
Santa Cruz,October,Oct-20,2020,7.1%,"16,447","26,541",931,591,"3,355,409"
Shasta,October,Oct-20,2020,6.9%,"14,046","23,602","1,173",592,"2,677,847"
Sierra,October,Oct-20,2020,5.5%,160,246,10,5,"26,135"
Siskiyou,October,Oct-20,2020,7.3%,"4,103","7,297",310,191,"870,324"
Solano,October,Oct-20,2020,8.5%,"25,400","44,413","1,526",950,"5,195,678"
Sonoma,October,Oct-20,2020,6.2%,"19,769","32,419","1,139",956,"3,778,260"
Stanislaus,October,Oct-20,2020,9.1%,"36,965","71,656","2,917","1,605","8,666,637"
Sutter,October,Oct-20,2020,9.1%,"5,515","11,358",381,242,"1,391,656"
Tehama,October,Oct-20,2020,7.2%,"5,181","9,620",392,209,"1,092,600"
Trinity,October,Oct-20,2020,6.3%,"1,202","1,945",82,33,"255,167"
Tulare,October,Oct-20,2020,10.9%,"48,487","108,939","2,610","1,436","13,550,950"
Tuolumne,October,Oct-20,2020,8.3%,"3,106","4,767",268,114,"563,394"
Ventura,October,Oct-20,2020,7.1%,"36,009","66,740","2,153","1,403","8,412,377"
Yolo,October,Oct-20,2020,6.2%,"12,889","20,999","1,268",975,"2,686,046"
Yuba,October,Oct-20,2020,9.4%,"6,981","13,914",410,274,"1,655,784"
Statewide,November,Nov-20,2020,7.9%,"2,359,544","4,383,800","173,817","124,577","527,267,959"
Alameda,November,Nov-20,2020,6.7%,"78,468","132,809","6,411","4,338","15,568,349"
