County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Yuba,March,Mar-19,2019,7.9%,"6,066","12,762",383,60,"1,691,569"
Statewide,April,Apr-19,2019,3.9%,"1,839,284","3,659,435","153,825","65,803","487,704,733"
Alameda,April,Apr-19,2019,2.7%,"51,134","91,764","5,253","2,073","12,909,412"
Alpine,April,Apr-19,2019,4.0%,73,127,7,0,"16,172"
Amador,April,Apr-19,2019,3.8%,"1,387","2,466",118,24,"314,732"
Butte,April,Apr-19,2019,5.0%,"15,595","27,767","1,382",672,"3,719,417"
Calaveras,April,Apr-19,2019,3.8%,"2,568","4,532",190,43,"595,013"
Colusa,April,Apr-19,2019,15.7%,638,"1,364",54,13,"165,881"
Contra Costa,April,Apr-19,2019,2.8%,"28,415","55,269","2,277",756,"7,551,592"
Del Norte,April,Apr-19,2019,5.6%,"2,450","4,656",183,24,"604,914"
El Dorado,April,Apr-19,2019,3.5%,"6,136","10,436",629,156,"1,367,119"
Fresno,April,Apr-19,2019,7.7%,"84,036","191,237","5,163","2,102","25,784,581"
Glenn,April,Apr-19,2019,6.6%,"1,442","3,083",133,40,"375,234"
Humboldt,April,Apr-19,2019,3.5%,"11,886","19,441","1,214",402,"2,659,421"
Imperial,April,Apr-19,2019,16.2%,"15,952","37,111","1,005",113,"4,568,020"
Inyo,April,Apr-19,2019,3.7%,919,"1,686",60,4,"222,167"
Kern,April,Apr-19,2019,8.4%,"64,389","146,089","5,375","1,696","18,963,001"
Kings,April,Apr-19,2019,8.3%,"10,270","22,675",771,148,"2,840,214"
Lake,April,Apr-19,2019,5.1%,"6,118","10,997",409,69,"1,431,385"
Lassen,April,Apr-19,2019,5.1%,"1,451","2,794",118,10,"373,043"
Los Angeles,April,Apr-19,2019,4.0%,"537,734","1,020,547","43,747","25,893","139,976,874"
Madera,April,Apr-19,2019,7.6%,"10,655","25,498",611,120,"3,259,194"
Marin,April,Apr-19,2019,2.1%,"5,725","9,109",474,161,"1,254,143"
Mariposa,April,Apr-19,2019,4.9%,"1,027","1,867",77,9,"235,299"
Mendocino,April,Apr-19,2019,4.1%,"5,795","10,606",490,64,"1,466,190"
Merced,April,Apr-19,2019,9.0%,"22,135","49,493","1,499",282,"6,357,056"
Modoc,April,Apr-19,2019,8.0%,612,"1,221",42,5,"155,084"
Mono,April,Apr-19,2019,2.9%,357,636,31,10,"84,638"
Monterey,April,Apr-19,2019,7.0%,"18,759","41,204","1,470",505,"5,420,072"
Napa,April,Apr-19,2019,2.7%,"2,698","5,235",210,61,"636,190"
Nevada,April,Apr-19,2019,3.4%,"4,287","7,160",394,148,"934,980"
Orange,April,Apr-19,2019,2.6%,"97,218","189,144","8,204","3,126","24,810,020"
Placer,April,Apr-19,2019,3.0%,"7,579","13,549",621,336,"1,706,361"
Plumas,April,Apr-19,2019,9.9%,"1,141","2,030",78,14,"271,043"
Riverside,April,Apr-19,2019,3.8%,"107,753","229,496","10,694","4,108","29,992,905"
Sacramento,April,Apr-19,2019,3.5%,"90,668","186,122","8,717","3,512","25,375,107"
San Benito,April,Apr-19,2019,5.3%,"2,056","4,351",139,43,"554,504"
San Bernardino,April,Apr-19,2019,3.6%,"145,092","311,168","11,971","3,533","41,295,890"
San Diego,April,Apr-19,2019,3.0%,"129,439","246,929","11,579","5,815","31,698,560"
San Francisco,April,Apr-19,2019,2.1%,"30,181","44,993","2,990","1,300","6,327,505"
San Joaquin,April,Apr-19,2019,6.0%,"42,261","90,705","3,113","1,115","11,688,715"
San Luis Obispo,April,Apr-19,2019,2.6%,"8,906","14,980",780,267,"1,989,758"
San Mateo,April,Apr-19,2019,1.9%,"10,861","20,006","1,165",495,"2,540,974"
Santa Barbara,April,Apr-19,2019,3.5%,"20,777","38,779","1,911","1,090","5,289,182"
Santa Clara,April,Apr-19,2019,2.3%,"38,281","70,790","2,962","1,009","9,224,442"
Santa Cruz,April,Apr-19,2019,5.5%,"13,921","23,502",958,407,"3,233,677"
